"comparison","num_taxa"
"treatment_1_vs_treatment_2",22
"treatment_1_vs_treatment_3",26
"treatment_1_vs_treatment_4",22
"treatment_1_vs_treatment_5",22
"treatment_2_vs_treatment_1",22
"treatment_2_vs_treatment_3",33
"treatment_2_vs_treatment_4",36
"treatment_2_vs_treatment_5",30
"treatment_3_vs_treatment_1",26
"treatment_3_vs_treatment_2",33
"treatment_3_vs_treatment_4",49
"treatment_3_vs_treatment_5",47
"treatment_4_vs_treatment_1",22
"treatment_4_vs_treatment_2",36
"treatment_4_vs_treatment_3",49
"treatment_4_vs_treatment_5",43
"treatment_5_vs_treatment_1",22
"treatment_5_vs_treatment_2",30
"treatment_5_vs_treatment_3",47
"treatment_5_vs_treatment_4",43
