"comparison","num_taxa"
"treatment_1_vs_treatment_2",28
"treatment_1_vs_treatment_3",32
"treatment_1_vs_treatment_4",43
"treatment_1_vs_treatment_5",16
"treatment_2_vs_treatment_1",28
"treatment_2_vs_treatment_3",38
"treatment_2_vs_treatment_4",40
"treatment_2_vs_treatment_5",25
"treatment_3_vs_treatment_1",32
"treatment_3_vs_treatment_2",38
"treatment_3_vs_treatment_4",38
"treatment_3_vs_treatment_5",31
"treatment_4_vs_treatment_1",43
"treatment_4_vs_treatment_2",40
"treatment_4_vs_treatment_3",38
"treatment_4_vs_treatment_5",32
"treatment_5_vs_treatment_1",16
"treatment_5_vs_treatment_2",25
"treatment_5_vs_treatment_3",31
"treatment_5_vs_treatment_4",32
