"comparison","num_taxa"
"treatment_1_vs_treatment_2",977
"treatment_1_vs_treatment_3",949
"treatment_1_vs_treatment_4",686
"treatment_1_vs_treatment_5",487
"treatment_2_vs_treatment_1",977
"treatment_2_vs_treatment_3",1101
"treatment_2_vs_treatment_4",666
"treatment_2_vs_treatment_5",615
"treatment_3_vs_treatment_1",949
"treatment_3_vs_treatment_2",1101
"treatment_3_vs_treatment_4",709
"treatment_3_vs_treatment_5",709
"treatment_4_vs_treatment_1",686
"treatment_4_vs_treatment_2",666
"treatment_4_vs_treatment_3",709
"treatment_4_vs_treatment_5",462
"treatment_5_vs_treatment_1",487
"treatment_5_vs_treatment_2",615
"treatment_5_vs_treatment_3",709
"treatment_5_vs_treatment_4",462
